artist,track,release_title,release_year,label,release_id,duration
Clivillés & Cole,A Deeper Love,The Mix 50,2005,Hed Kandi,527373,4:59
Praxis (2),Turn Me Out (Extended Dance Mix),The Mix 50,2005,Hed Kandi,527373,2:53
Chris Cuevas,Hip Hop (MAW Dub Mix),The Mix 50,2005,Hed Kandi,527373,2:22
Denise Lopez,Don't You Wanna Be Mine (Vocal Club Mix),The Mix 50,2005,Hed Kandi,527373,4:09
Richie Rich,"You Used To Salsa (12"" Mix)",The Mix 50,2005,Hed Kandi,527373,5:01
Adamski,Killer (Original Version),The Mix 50,2005,Hed Kandi,527373,3:48
Axwell,Watch The Sunrise (Vocal Dub Mix),The Mix 2006,2005,Hed Kandi,568639,
Cloud 9 (8),How Shall I Rock Thee? (Sunloverz Mix),The Mix 2006,2005,Hed Kandi,568639,
ShinyGrey,Why (Bob Sinclar Remix),The Mix 2006,2005,Hed Kandi,568639,
"Mad8, Shawn Christopher",Deep Sleepless Night (Dino Lenny's Old Skool Mix),The Mix 2006,2005,Hed Kandi,568639,
Kechia Jenkins,I Need Somebody (Marshall's Chicago Mix),The Mix 2006,2005,Hed Kandi,568639,
FPI Project,Everybody All Over The World (Original FPI Mix),The Mix 2006,2005,Hed Kandi,568639,
"Solu Music, Kimblee",Fade (Solid State Kandi Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:28
"Bob Sinclar, Gary ""Nesta"" Pine",Love Generation (Full Intention Club Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,4:30
Chanel,My Life (Grant Nelson Neo Funk Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:03
"M-Gee, Mica Paris",Bodyswerve (Grant Nelson Remix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,4:29
"ATFC, Inaya Day",Reach Out To Me (Original Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,6:15
"Freemasons, Amanda Wilson",Watchin',Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:14
Lovemakers,This Feeling (Original Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:03
Future Funk,Wildberry Tracks,Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:15
Basement Jaxx,Do Your Thing (Robbie Rivera Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:30
The Brand New Heavies,Surrender (Grant Nelson Dub Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:44
Nate James,The Message (Solid State Kandi Dub),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,4:44
"She S. Sunshine, Mila",Bring The Beat Back (Club Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,4:45
"Axwell, Steve Edwards",Watch The Sunrise (Vocal Dub Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,4:59
Hard-Fi,Hard To Beat (Axwell Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,5:06
Chocolate Puma,Always And Forever (Original Mix),Hed Kandi : The Mix 2006,2005,Hed Kandi,575970,6:32
